,Country,City,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
380,gt,sayaxche,sayaxche,gt,16.52,-90.17,29.88,3.48,47.0,80.0
381,ph,digos,digos,ph,6.74,125.36,24.0,1.0,88.0,75.0
382,tr,genc,genc,tr,38.75,40.56,-3.12,0.98,66.0,0.0
383,ru,biskamzha,biskamzha,ru,53.45,89.53,-14.92,0.83,54.0,0.0
385,ro,margina,margina,ro,45.86,22.27,11.16,1.06,98.0,92.0
386,br,paripiranga,paripiranga,br,-10.68,-37.86,26.21,3.98,66.0,44.0
387,cn,shashi,shashi,cn,27.02,114.08,7.93,1.61,100.0,92.0
389,za,randfontein,randfontein,za,-26.17,27.69,13.0,3.1,87.0,0.0
390,np,birganj,birganj,np,27.01,84.88,19.56,3.38,92.0,20.0
391,ro,hodac,hodac,ro,46.77,24.92,11.0,2.6,76.0,92.0
392,de,mosbach,mosbach,de,49.35,9.15,5.0,2.1,74.0,20.0
393,us,richton park,richton park,us,41.48,-87.7,4.0,3.6,100.0,90.0
394,th,nong bua,nong bua,th,15.87,100.58,24.53,1.68,87.0,48.0
395,ua,frunze,frunze,ua,46.83,29.88,8.98,3.93,75.0,64.0
396,cz,luze,luze,cz,49.89,16.03,9.0,5.1,70.0,75.0
397,fr,concarneau,concarneau,fr,47.88,-3.92,8.0,4.6,87.0,0.0
398,mx,tula,tula,mx,18.59,-95.38,25.08,3.18,83.0,24.0
399,ph,santa ana,santa ana,ph,15.09,120.77,25.0,1.0,83.0,75.0
400,dk,storvorde,storvorde,dk,57.0,10.1,2.78,12.46,87.0,0.0
401,mx,tultitlan,tultitlan,mx,19.65,-99.17,24.0,6.2,48.0,90.0
402,pl,gostyn,gostyn,pl,51.88,17.01,8.0,8.2,75.0,75.0
403,es,chipiona,chipiona,es,36.74,-6.44,17.0,1.5,71.0,0.0
404,ph,dumanjug,dumanjug,ph,10.06,123.44,25.0,1.5,83.0,20.0
405,at,lauterach,lauterach,at,47.48,9.73,8.0,1.0,70.0,90.0
406,mx,actopan,actopan,mx,20.27,-98.94,17.96,0.38,73.0,20.0
407,ph,adela,adela,ph,12.44,120.97,23.88,1.56,89.0,0.0
408,ru,khabary,khabary,ru,53.63,79.53,-2.12,5.86,81.0,8.0
409,ru,krasnokholmskiy,krasnokholmskiy,ru,55.99,55.05,-0.77,4.98,92.0,64.0
411,cn,longkou,longkou,cn,37.64,120.47,6.06,13.08,83.0,0.0
412,ph,guinacutan,guinacutan,ph,14.17,122.89,27.46,5.96,96.0,44.0
